Camel Project ID,Type,Assignee,Reporter,Affected Versions,Fix Versions,Created Date,Created Epoch,Updated Date,Resolution Date,Description,Comments
21814,Improvement,Unassigned,Thomas Cunningham,None,4.11.0,2025-02-27T21:05:46+0000,1740690346,2025-02-27T21:05:46+0000,,pinecone query can take a number of arguments that camel-pinecone does not support yet :,No comments found
21813,Bug,Unassigned,David Benes,"4.6.0,4.7.0,4.10.0",None,2025-02-27T17:25:35+0000,1740677135,2025-02-27T21:10:20+0000,,"When using ProducerTemplate and sending data to ActiveMQ with InOut exchange pattern it opens a 2 threads that are still there even when response is returned and producer template is closed.
Thread names are:
If you are using this pattern to handle some requests over the time number of threads accumulates up to the number of allowed threds in the pool (if using a pool, defaults to ~1000 for ActiveMQ) and no more messages are being sent. Application has to be restarted.
Example that replicates the problem is attached. Requirements to run the example is having ActiveMQ running on localhost. Example is a simple Maven project. It contains single file that includes `main` method that replicates the problem.
This example sends messages into ActiveMQ queue in InOut exchange pattern. And another Processor is replying with slight delay.
When executed in debug mode, you will see that number of threads is only increasing. Also it prints to standard out number of threds at the beginning and in the end. At the end there is at least 2 times more threads still running as the number of messages that were send.
It behaves the same when using connection pool or not. Verified that it behaves the same with several versions of Apache Camel.
The only way found how to let those threads finish is sending the message in InOnly exchange pattern. But that is not usable as a workaround as we would not get necessary response.
Is there something that we are doing wrong when closing the producer? As it is documented that you should close the producer template and we are doing exactly that, it looks like a bug.",No comments found
21812,Improvement,Thomas Diesler,Thomas Diesler,None,None,2025-02-27T15:40:06+0000,1740670806,2025-02-27T16:26:28+0000,,"Communication with Keycloak should not happen over an insecure channel. Specifically, some OAuth/OIDC protocols require TLS before they are willing to send sensitive data across the wire.",No comments found
21811,Improvement,Thomas Diesler,Thomas Diesler,None,None,2025-02-27T10:25:34+0000,1740651934,2025-02-27T10:47:46+0000,,... this would have the benefit of not using NodePort and reuse the same TLS certificate for various services behind the SSL terminating proxy (e.g. Traefik),No comments found
21810,Task,Thomas Diesler,Thomas Diesler,None,4.11.0,2025-02-27T10:16:32+0000,1740651392,2025-02-27T10:49:54+0000,,The generated readme.md and Dockerfile are not applicable for runtimes other than Quarkus. Verify that the Dockerfile is indeed that which would come out of JKube,No comments found
21809,Improvement,Claus Ibsen,Vishesh,4.10.0,4.11.0,2025-02-27T09:56:40+0000,1740650200,2025-02-27T21:10:10+0000,,"I have observe that in camel coap library there is no way to override the these default configuration.
[] coap BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000, MAX_RESOURCE_BODY_SIZE=8192, BLOCKWISE_STRICT_BLOCK2_OPTION=false
Please suggest How to override the these default configuration.",No comments found
21808,Bug,Jiri Ondrusek,Jiri Ondrusek,4.11.0,4.11.0,2025-02-27T08:25:55+0000,1740644755,2025-02-27T10:48:07+0000,,"There is a code recently added (commit), which expects the `getEndpoint().getConfiguration().getCollectionDimension()` to be not null. Which might not be true. Simple code fix should be done.",No comments found
21807,Bug,Claus Ibsen,Claus Ibsen,4.10.0,"4.10.1,4.11.0",2025-02-27T08:02:35+0000,1740643355,2025-02-27T09:06:46+0000,2025-02-27T09:06:46+0000,"If you build a custom kamelet with the sql component, then this works
and this fails",No comments found
21806,Improvement,Unassigned,Thomas Cunningham,None,4.11.0,2025-02-26T20:33:58+0000,1740602038,2025-02-27T19:21:27+0000,,"camel-pinecone has the option of specifying the host to connect to for control/data plane operations :
https://github.com/pinecone-io/pinecone-java-client/blob/main/src/main/java/io/pinecone/clients/Pinecone.java#L1154-L1156
I think this would enable using camel with the Pinecone local container :
https://docs.pinecone.io/guides/operations/local-development
Add host as an endpoint parameter.",No comments found
21805,New Feature,Andrea Cosentino,Andrea Cosentino,None,4.11.0,2025-02-26T15:09:20+0000,1740582560,2025-02-26T17:37:35+0000,2025-02-26T17:37:35+0000,No description available,No comments found
